date;lat;lon;alt;speed
2025-10-14 11:49:33;;;;
2025-10-14 11:50:18;6,3 S;23,3 W;419 km;27579 km/h
2025-10-14 11:51:03;4,0 S;21,7 W;418 km;27580 km/h
2025-10-14 11:51:48;1,7 S;20,1 W;418 km;27581 km/h
2025-10-14 11:52:33;0,5 N;18,5 W;418 km;27583 km/h
2025-10-14 11:53:18;2,8 N;16,8 W;417 km;27584 km/h
2025-10-14 11:54:03;5,1 N;15,2 W;417 km;27585 km/h
2025-10-14 11:54:49;7,3 N;13,6 W;417 km;27585 km/h
2025-10-14 11:55:34;9,6 N;11,9 W;417 km;27586 km/h
2025-10-14 11:56:19;11,9 N;10,2 W;417 km;27587 km/h
2025-10-14 11:57:04;14,2 N;8,5 W;417 km;27587 km/h
2025-10-14 11:57:49;16,4 N;6,8 W;417 km;27588 km/h
2025-10-14 11:58:34;18,6 N;5,0 W;417 km;27588 km/h
2025-10-14 11:59:19;20,8 N;3,1 W;418 km;27589 km/h
2025-10-14 12:00:04;23,0 N;1,2 W;418 km;27589 km/h
2025-10-14 12:00:49;25,1 N;0,7 E;418 km;27589 km/h
2025-10-14 12:01:34;27,3 N;2,7 E;418 km;27589 km/h
2025-10-14 12:02:20;29,3 N;4,9 E;419 km;27590 km/h
2025-10-14 12:03:05;31,4 N;7,1 E;419 km;27590 km/h
2025-10-14 12:03:50;33,3 N;9,4 E;419 km;27590 km/h
2025-10-14 12:04:35;35,3 N;11,9 E;420 km;27590 km/h
2025-10-14 12:05:20;37,1 N;14,5 E;420 km;27589 km/h
2025-10-14 12:06:05;38,9 N;17,2 E;421 km;27589 km/h
2025-10-14 12:06:50;40,7 N;20,1 E;421 km;27589 km/h
2025-10-14 12:07:35;42,3 N;23,1 E;421 km;27589 km/h
2025-10-14 12:08:20;43,9 N;26,3 E;422 km;27589 km/h
2025-10-14 12:09:06;45,3 N;29,7 E;422 km;27589 km/h
2025-10-14 12:09:51;46,6 N;33,2 E;422 km;27589 km/h
2025-10-14 12:10:36;47,8 N;36,9 E;423 km;27588 km/h
2025-10-14 12:11:21;48,9 N;40,8 E;423 km;27588 km/h
2025-10-14 12:12:06;49,8 N;44,9 E;423 km;27588 km/h
2025-10-14 12:12:51;50,5 N;49,1 E;423 km;27588 km/h
2025-10-14 12:13:36;51,1 N;53,4 E;423 km;27588 km/h
2025-10-14 12:14:21;51,5 N;57,8 E;423 km;27588 km/h
2025-10-14 12:15:07;51,7 N;62,3 E;424 km;27588 km/h
2025-10-14 12:15:52;51,7 N;66,8 E;424 km;27588 km/h
2025-10-14 12:16:37;51,6 N;71,3 E;423 km;27588 km/h
2025-10-14 12:17:22;51,2 N;75,7 E;423 km;27588 km/h
2025-10-14 12:18:07;50,7 N;80,1 E;423 km;27588 km/h
2025-10-14 12:18:52;50,0 N;84,3 E;423 km;27588 km/h
2025-10-14 12:19:37;49,1 N;88,4 E;423 km;27588 km/h
2025-10-14 12:20:22;48,1 N;92,4 E;423 km;27589 km/h
2025-10-14 12:21:07;47,0 N;96,1 E;422 km;27589 km/h
2025-10-14 12:21:52;45,7 N;99,7 E;422 km;27589 km/h
2025-10-14 12:22:38;44,3 N;103,1 E;422 km;27589 km/h
2025-10-14 12:23:23;42,8 N;106,4 E;421 km;27589 km/h
2025-10-14 12:24:08;41,1 N;109,5 E;421 km;27589 km/h
2025-10-14 12:24:53;39,4 N;112,4 E;421 km;27590 km/h
2025-10-14 12:25:38;37,7 N;115,1 E;420 km;27590 km/h
2025-10-14 12:26:23;35,8 N;117,8 E;420 km;27590 km/h
2025-10-14 12:27:08;33,9 N;120,2 E;420 km;27590 km/h
2025-10-14 12:27:53;31,9 N;122,6 E;419 km;27590 km/h
2025-10-14 12:28:38;29,9 N;124,9 E;419 km;27590 km/h
2025-10-14 12:29:23;27,8 N;127,1 E;418 km;27590 km/h
2025-10-14 12:30:09;25,7 N;129,1 E;418 km;27590 km/h
2025-10-14 12:30:54;23,6 N;131,1 E;418 km;27590 km/h
2025-10-14 12:31:39;21,4 N;133,1 E;418 km;27589 km/h
2025-10-14 12:32:24;19,2 N;134,9 E;417 km;27589 km/h
2025-10-14 12:33:09;17,0 N;136,7 E;417 km;27589 km/h
2025-10-14 12:33:54;14,8 N;138,5 E;417 km;27588 km/h
2025-10-14 12:34:39;12,5 N;140,2 E;417 km;27587 km/h
2025-10-14 12:35:24;10,3 N;141,9 E;417 km;27587 km/h
2025-10-14 12:36:09;8,0 N;143,6 E;417 km;27586 km/h
2025-10-14 12:36:55;5,7 N;145,2 E;417 km;27585 km/h
2025-10-14 12:37:40;3,4 N;146,9 E;417 km;27584 km/h
2025-10-14 12:38:25;1,1 N;148,5 E;418 km;27583 km/h
2025-10-14 12:39:10;1,1 S;150,1 E;418 km;27582 km/h
2025-10-14 12:39:55;3,4 S;151,7 E;418 km;27581 km/h
2025-10-14 12:40:40;5,7 S;153,4 E;419 km;27580 km/h
2025-10-14 12:41:25;8,0 S;155,0 E;419 km;27578 km/h
2025-10-14 12:42:10;10,3 S;156,7 E;419 km;27577 km/h
2025-10-14 12:42:55;12,5 S;158,4 E;420 km;27575 km/h
2025-10-14 12:43:40;14,8 S;160,1 E;421 km;27574 km/h
2025-10-14 12:44:25;17,0 S;161,9 E;421 km;27572 km/h
2025-10-14 12:45:11;19,2 S;163,7 E;422 km;27571 km/h
2025-10-14 12:45:56;21,4 S;165,5 E;423 km;27569 km/h
2025-10-14 12:46:41;23,6 S;167,5 E;423 km;27567 km/h
2025-10-14 12:47:26;25,7 S;169,5 E;424 km;27566 km/h
2025-10-14 12:48:11;27,8 S;171,5 E;425 km;27564 km/h
2025-10-14 12:48:56;29,9 S;173,7 E;426 km;27562 km/h
2025-10-14 12:49:41;31,9 S;176,0 E;426 km;27561 km/h
2025-10-14 12:50:26;33,9 S;178,3 E;427 km;27559 km/h
2025-10-14 12:51:11;35,8 S;179,1 W;428 km;27558 km/h
2025-10-14 12:51:56;37,6 S;176,5 W;429 km;27556 km/h
2025-10-14 12:52:41;39,4 S;173,7 W;429 km;27555 km/h
2025-10-14 12:53:27;41,1 S;170,8 W;430 km;27553 km/h
2025-10-14 12:54:12;42,7 S;167,8 W;431 km;27552 km/h
2025-10-14 12:54:57;44,2 S;164,5 W;431 km;27551 km/h
2025-10-14 12:55:42;45,6 S;161,1 W;432 km;27550 km/h
2025-10-14 12:56:27;46,9 S;157,5 W;432 km;27548 km/h
2025-10-14 12:57:12;48,1 S;153,8 W;433 km;27548 km/h
2025-10-14 12:57:57;49,1 S;149,9 W;433 km;27547 km/h
2025-10-14 12:58:42;50,0 S;145,8 W;434 km;27546 km/h
2025-10-14 12:59:27;50,7 S;141,6 W;434 km;27546 km/h
2025-10-14 13:00:12;51,2 S;137,2 W;434 km;27545 km/h
2025-10-14 13:00:57;51,6 S;132,8 W;434 km;27545 km/h
2025-10-14 13:01:42;51,7 S;128,3 W;434 km;27545 km/h
2025-10-14 13:02:28;51,7 S;123,8 W;434 km;27545 km/h
2025-10-14 13:03:13;51,5 S;119,4 W;434 km;27545 km/h
2025-10-14 13:03:58;51,1 S;115,0 W;434 km;27545 km/h
2025-10-14 13:04:43;50,6 S;110,6 W;434 km;27546 km/h
2025-10-14 13:05:28;49,8 S;106,4 W;433 km;27546 km/h
2025-10-14 13:06:13;48,9 S;102,4 W;433 km;27547 km/h
2025-10-14 13:06:58;47,9 S;98,5 W;433 km;27548 km/h
2025-10-14 13:07:43;46,7 S;94,8 W;432 km;27549 km/h
2025-10-14 13:08:28;45,4 S;91,2 W;432 km;27550 km/h
2025-10-14 13:09:13;44,0 S;87,9 W;431 km;27551 km/h
2025-10-14 13:09:58;42,4 S;84,7 W;431 km;27552 km/h
2025-10-14 13:10:43;40,8 S;81,6 W;430 km;27553 km/h
2025-10-14 13:11:29;39,1 S;78,8 W;429 km;27555 km/h
2025-10-14 13:12:14;37,3 S;76,0 W;428 km;27556 km/h
2025-10-14 13:12:59;35,4 S;73,4 W;428 km;27558 km/h
2025-10-14 13:13:44;33,5 S;71,0 W;427 km;27559 km/h
2025-10-14 13:14:29;31,5 S;68,6 W;426 km;27561 km/h
2025-10-14 13:15:14;29,5 S;66,4 W;425 km;27562 km/h
2025-10-14 13:15:59;27,5 S;64,2 W;425 km;27564 km/h
2025-10-14 13:16:44;25,3 S;62,2 W;424 km;27566 km/h
2025-10-14 13:17:29;23,2 S;60,2 W;423 km;27567 km/h
2025-10-14 13:18:14;21,0 S;58,3 W;422 km;27569 km/h
2025-10-14 13:19:00;18,8 S;56,4 W;422 km;27571 km/h
2025-10-14 13:19:45;16,6 S;54,6 W;421 km;27572 km/h
2025-10-14 13:20:30;14,4 S;52,9 W;421 km;27574 km/h
2025-10-14 13:21:15;12,1 S;51,2 W;420 km;27575 km/h
2025-10-14 13:22:00;9,8 S;49,5 W;419 km;27577 km/h
2025-10-14 13:22:45;7,6 S;47,8 W;419 km;27578 km/h
2025-10-14 13:23:30;5,3 S;46,2 W;419 km;27580 km/h
2025-10-14 13:24:15;3,0 S;44,5 W;418 km;27581 km/h
2025-10-14 13:25:00;0,7 S;42,9 W;418 km;27582 km/h
2025-10-14 13:25:45;1,5 N;41,3 W;418 km;27583 km/h
2025-10-14 13:26:30;3,8 N;39,7 W;417 km;27584 km/h
2025-10-14 13:27:16;6,1 N;38,1 W;417 km;27585 km/h
2025-10-14 13:28:01;8,4 N;36,4 W;417 km;27586 km/h
2025-10-14 13:28:46;10,7 N;34,7 W;417 km;27587 km/h
2025-10-14 13:29:31;12,9 N;33,0 W;417 km;27587 km/h
2025-10-14 13:30:16;15,2 N;31,3 W;417 km;27588 km/h
2025-10-14 13:31:01;17,4 N;29,5 W;417 km;27588 km/h
2025-10-14 13:31:46;19,6 N;27,7 W;418 km;27589 km/h
2025-10-14 13:32:31;21,8 N;25,8 W;418 km;27589 km/h
2025-10-14 13:33:16;24,0 N;23,9 W;418 km;27589 km/h
2025-10-14 13:34:01;26,1 N;21,9 W;418 km;27589 km/h
2025-10-14 13:34:47;28,2 N;19,8 W;419 km;27590 km/h
2025-10-14 13:35:32;30,3 N;17,6 W;419 km;27590 km/h
2025-10-14 13:36:17;32,3 N;15,3 W;419 km;27590 km/h
2025-10-14 13:37:02;34,2 N;12,9 W;420 km;27590 km/h
2025-10-14 13:37:47;36,2 N;10,4 W;420 km;27590 km/h
2025-10-14 13:38:32;38,0 N;7,8 W;420 km;27589 km/h
2025-10-14 13:39:17;39,8 N;5,0 W;421 km;27589 km/h
2025-10-14 13:40:02;41,4 N;2,0 W;421 km;27589 km/h
